result = Status(day : 33, money : 4, collection : Collection(15, 15, 40, 40, 15), cost : 161)
time = 988 milisec.
day =  19, money = 0, collection = Collection( 0,  0, 22, 40, 15)
day =  20, money = 5, collection = Collection( 0,  0, 22, 40, 15)
day =  20, money = 4, collection = Collection( 1,  0, 22, 40, 15)
day =  20, money = 3, collection = Collection( 2,  0, 22, 40, 15)
day =  20, money = 2, collection = Collection( 3,  0, 22, 40, 15)
day =  20, money = 1, collection = Collection( 4,  0, 22, 40, 15)
day =  20, money = 0, collection = Collection( 5,  0, 22, 40, 15)
day =  21, money = 5, collection = Collection( 5,  0, 22, 40, 15)
day =  21, money = 4, collection = Collection( 6,  0, 22, 40, 15)
day =  21, money = 3, collection = Collection( 7,  0, 22, 40, 15)
day =  21, money = 2, collection = Collection( 8,  0, 22, 40, 15)
day =  21, money = 1, collection = Collection( 9,  0, 22, 40, 15)
day =  21, money = 0, collection = Collection(10,  0, 22, 40, 15)
day =  22, money = 5, collection = Collection(10,  0, 22, 40, 15)
day =  22, money = 4, collection = Collection(11,  0, 22, 40, 15)
day =  22, money = 3, collection = Collection(12,  0, 22, 40, 15)
day =  22, money = 2, collection = Collection(13,  0, 22, 40, 15)
day =  22, money = 1, collection = Collection(14,  0, 22, 40, 15)
day =  22, money = 0, collection = Collection(15,  0, 22, 40, 15)
day =  23, money = 5, collection = Collection(15,  0, 22, 40, 15)
day =  23, money = 4, collection = Collection(15,  1, 22, 40, 15)
day =  23, money = 3, collection = Collection(15,  2, 22, 40, 15)
day =  23, money = 2, collection = Collection(15,  3, 22, 40, 15)
day =  23, money = 1, collection = Collection(15,  4, 22, 40, 15)
day =  23, money = 0, collection = Collection(15,  5, 22, 40, 15)
day =  24, money = 5, collection = Collection(15,  5, 22, 40, 15)
day =  24, money = 4, collection = Collection(15,  6, 22, 40, 15)
day =  24, money = 3, collection = Collection(15,  7, 22, 40, 15)
day =  24, money = 2, collection = Collection(15,  8, 22, 40, 15)
day =  24, money = 1, collection = Collection(15,  9, 22, 40, 15)
day =  24, money = 0, collection = Collection(15, 10, 22, 40, 15)
day =  25, money = 5, collection = Collection(15, 10, 22, 40, 15)
day =  25, money = 4, collection = Collection(15, 11, 22, 40, 15)
day =  25, money = 3, collection = Collection(15, 12, 22, 40, 15)
day =  25, money = 2, collection = Collection(15, 13, 22, 40, 15)
day =  25, money = 1, collection = Collection(15, 14, 22, 40, 15)
day =  25, money = 0, collection = Collection(15, 15, 22, 40, 15)
day =  26, money = 5, collection = Collection(15, 15, 22, 40, 15)
day =  26, money = 3, collection = Collection(15, 15, 23, 40, 15)
day =  26, money = 1, collection = Collection(15, 15, 24, 40, 15)
day =  27, money = 6, collection = Collection(15, 15, 24, 40, 15)
day =  27, money = 4, collection = Collection(15, 15, 25, 40, 15)
day =  27, money = 2, collection = Collection(15, 15, 26, 40, 15)
day =  27, money = 0, collection = Collection(15, 15, 27, 40, 15)
day =  28, money = 5, collection = Collection(15, 15, 27, 40, 15)
day =  28, money = 3, collection = Collection(15, 15, 28, 40, 15)
day =  28, money = 1, collection = Collection(15, 15, 29, 40, 15)
day =  29, money = 6, collection = Collection(15, 15, 29, 40, 15)
day =  29, money = 4, collection = Collection(15, 15, 30, 40, 15)
day =  29, money = 2, collection = Collection(15, 15, 31, 40, 15)
day =  29, money = 0, collection = Collection(15, 15, 32, 40, 15)
day =  30, money = 5, collection = Collection(15, 15, 32, 40, 15)
day =  30, money = 3, collection = Collection(15, 15, 33, 40, 15)
day =  30, money = 1, collection = Collection(15, 15, 34, 40, 15)
day =  31, money = 6, collection = Collection(15, 15, 34, 40, 15)
day =  31, money = 4, collection = Collection(15, 15, 35, 40, 15)
day =  31, money = 2, collection = Collection(15, 15, 36, 40, 15)
day =  31, money = 0, collection = Collection(15, 15, 37, 40, 15)
day =  32, money = 5, collection = Collection(15, 15, 37, 40, 15)
day =  32, money = 3, collection = Collection(15, 15, 38, 40, 15)
day =  32, money = 1, collection = Collection(15, 15, 39, 40, 15)
day =  33, money = 6, collection = Collection(15, 15, 39, 40, 15)
day =  33, money = 4, collection = Collection(15, 15, 40, 40, 15)
